Text	Coref	Values
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('nước ngoài', 38, 47), ('yếu tố', 156, 161))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('nước ngoài', 38, 47), ('thương hiệu của Nishi', 171, 191))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('nước ngoài', 38, 47), ('món', 196, 198))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('nước ngoài', 38, 47), ('sự chu toàn', 209, 219))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('đội tuyển quốc gia', 62, 79), ('năm 2004', 87, 94))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('đội tuyển quốc gia', 62, 79), ('thành viên', 109, 118))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('đội tuyển quốc gia', 62, 79), ('Ông', 140, 142))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('đội tuyển quốc gia', 62, 79), ('yếu tố', 156, 161))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('đội tuyển quốc gia', 62, 79), ('thương hiệu của Nishi', 171, 191))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('đội tuyển quốc gia', 62, 79), ('món', 196, 198))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('đội tuyển quốc gia', 62, 79), ('sự chu toàn', 209, 219))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('năm 2004', 87, 94), ('thành viên', 109, 118))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('năm 2004', 87, 94), ('Ông', 140, 142))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('năm 2004', 87, 94), ('yếu tố', 156, 161))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('năm 2004', 87, 94), ('thương hiệu của Nishi', 171, 191))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('năm 2004', 87, 94), ('món', 196, 198))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('năm 2004', 87, 94), ('sự chu toàn', 209, 219))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('thành viên', 109, 118), ('Ông', 140, 142))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('thành viên', 109, 118), ('yếu tố', 156, 161))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('thành viên', 109, 118), ('thương hiệu của Nishi', 171, 191))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('thành viên', 109, 118), ('món', 196, 198))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('thành viên', 109, 118), ('sự chu toàn', 209, 219))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Ông', 140, 142), ('yếu tố', 156, 161))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Ông', 140, 142), ('thương hiệu của Nishi', 171, 191))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Ông', 140, 142), ('món', 196, 198))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('Ông', 140, 142), ('sự chu toàn', 209, 219))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('yếu tố', 156, 161), ('thương hiệu của Nishi', 171, 191))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('yếu tố', 156, 161), ('món', 196, 198))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('yếu tố', 156, 161), ('sự chu toàn', 209, 219))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('thương hiệu của Nishi', 171, 191), ('món', 196, 198))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('thương hiệu của Nishi', 171, 191), ('sự chu toàn', 209, 219))	False
Đầu bếp Hoàng đã có hơn 130 chuyến ra nước ngoài thi đấu cùng đội tuyển quốc gia kể từ năm 2004 và trở thành thành viên không thể thay thế. Ông cho rằng ba yếu tố tạo nên thương hiệu của Nishi là món ăn ngon, sự chu toàn và may mắn.	(('món', 196, 198), ('sự chu toàn', 209, 219))	False
Người cao tuổi không còn khả năng ghi nhớ tốt, do đó, họ rất dễ bỏ lỡ, bỏ quên những thông tin quan trọng.	(('Người cao tuổi', 0, 13), ('khả năng', 25, 32))	False
Người cao tuổi không còn khả năng ghi nhớ tốt, do đó, họ rất dễ bỏ lỡ, bỏ quên những thông tin quan trọng.	(('Người cao tuổi', 0, 13), ('họ', 54, 55))	True
Người cao tuổi không còn khả năng ghi nhớ tốt, do đó, họ rất dễ bỏ lỡ, bỏ quên những thông tin quan trọng.	(('Người cao tuổi', 0, 13), ('thông tin', 85, 93))	False
Người cao tuổi không còn khả năng ghi nhớ tốt, do đó, họ rất dễ bỏ lỡ, bỏ quên những thông tin quan trọng.	(('khả năng', 25, 32), ('họ', 54, 55))	False
Người cao tuổi không còn khả năng ghi nhớ tốt, do đó, họ rất dễ bỏ lỡ, bỏ quên những thông tin quan trọng.	(('khả năng', 25, 32), ('thông tin', 85, 93))	False
Người cao tuổi không còn khả năng ghi nhớ tốt, do đó, họ rất dễ bỏ lỡ, bỏ quên những thông tin quan trọng.	(('họ', 54, 55), ('thông tin', 85, 93))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('thành phố Hải Dương', 21, 39))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('làm vườn từ năm 2018', 49, 68))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('Lúc', 71, 73))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('sân thượng', 84, 93))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('chị', 106, 108))	True
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('chậu hoa hồng', 119, 131))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('loại', 136, 139))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('hội nhóm', 155, 162))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('rau sân thượng', 170, 183))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('vườn rau của', 196, 207))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('người', 213, 217))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('chị', 227, 229))	True
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('hoa', 245, 247))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('Chị Nguyễn Thị Lan', 0, 17), ('rau', 268, 270))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('làm vườn từ năm 2018', 49, 68))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('Lúc', 71, 73))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('sân thượng', 84, 93))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('chị', 106, 108))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('chậu hoa hồng', 119, 131))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('loại', 136, 139))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('hội nhóm', 155, 162))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('rau sân thượng', 170, 183))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('vườn rau của', 196, 207))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('người', 213, 217))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('chị', 227, 229))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('hoa', 245, 247))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('thành phố Hải Dương', 21, 39), ('rau', 268, 270))	False
Chị Nguyễn Thị Lan ở thành phố Hải Dương bắt đầu làm vườn từ năm 2018. Lúc đó, trên sân thượng hơn 70 m2, chị trồng 80 chậu hoa hồng đủ loại. Khi tham gia hội nhóm trồng rau sân thượng, nhìn thấy vườn rau của mọi người mơn mởn chị quyết định bỏ hoa, chuyển sang trồng rau.	(('làm vườn từ năm 2018', 49, 68), ('Lúc', 71, 73))	False
